,Author,Text
0,Dragodar,"Intro:Welcome to the IC (In Character) Thread for your new adventure, The Storm on the Horizon.Let me start by introducing our party:Nightwing32193 will be playing Gideon, the Human Barbarian. (""#FF0000"")RealZachKraus will be playing Chadwick, the Human Paladin. (""#0000FF"")Graehamkracker will be playing Bendron, the Dwarf Fighter. (""#8E5500"")Beefychickens will be playing Demryon, the Elf Ranger. (""#800080"")ButcherDawg will be playing Seamus, the Half-Elf Druid. (""#008000"")If you have any questions regarding the rules or game mechanics, or about how to use the website or how to post, ask them here on the OoC ThreadWhen last we left our rag tag band of adventurers, they had just defeated the ominous denizens of what seemed to be some kind of underground cultist temple. They faced a fearful enemy with unfamiliar psychological powers, but emerged victorious. Their brief companion, Jimothy the Warlock, chose to take a different route when escaping the flooding tunnels. Whether he made it out of the cave system or not, the party has no way of knowing.The powerful storms that wrack the coast have been pummeling the countryside for hours now, and the cave system was beginning to flood. The group managed to find their way out of the tunnels, and they have just arrived in a relatively dry cave with an entrance almost completely concealed by shrubbery foliage. For now, they are safe.Gideon and Chadwick are at work getting a small fire started, and converse in low murmurs of their past exploits. Bendron and Demryon seem uncertain of each other, but for the moment have no choice but to trust one another. They busy themselves with finding dry material for the fire from amongst the vegetation in the cave.The sound of thunder and rain are still deafening outside the cave, but for now our party is mostly dry and mostly warm. The smell of petrichor is heavy in the air, and the curtain of foliage at the mouth of the cave drips with long awaited rainwater. Every few seconds a brilliant flash of lightning can be seen outside the shelter, quickly followed by a tremendous crack of thunder. The loudness of the wind does not subside, making it difficult to hear normal conversation.It is late at night on Friday, Iru 5th."
1,Graehamkracker,"Bendron finishes collecting firewood, adds it to the pile, then sits with his back against the wall, so he can watch is new companions. ""We always thought that these storms would end sometime. Guess it's not that time yet... Who are the powers in these parts nowadays? And how long has it been since the storms started?"""
2,Nightwing32193,"Gideon stirs the fire and looks around at the rag tag group of adventurers. He smiles at Chadwick as he addresses the rest of the party, ""So I suppose through battle we are all aquainted, and that's a start, for myself anyways. What are your plans? Waiting out the storm? Or would you like to explore these caves further, in search of more monsters?"""
3,Graehamkracker,"""I have no where to go. These caves were home, but it seems like I have been asleep for a very long time, as everything is gone and you all found a way in. At least until I can discover what has become of the rest of my clan, I seem to be best served by remaining with you folk to get my bearings, if you'll have me, and answer some of my questions about the world as it is now."""
4,Dragodar,"The motley crew of adventurers moves closer to the newly ignited fire in the middle of the cave. They huddle close for warmth as the howling wind pummels the outside of their shelter. The soft crackle of the twigs in the fire is a comforting sound against the crash of thunder, and the faint smell of burning tinder warms the hearts of the companions gathered around it.Suddenly, the curtain of foliage shielding them from the elements rustles and shifts, and the adventurers see an unsettling sight. A huge wolf, soaking wet and holding a small dead mammal in its mouth, plods into the cave. It looks up at the group and stands very still, only its eyes moving as they dart to and fro from one adventurer to another. It makes no move to turn back to the storm outside, but also makes no advance toward the group. It holds its kill in its mouth and watches intently."
5,Graehamkracker,"Bendron takes a defensive stance, putting hand to halberd and tapping the butt to the cave floor to draw the beast's attention. He inspects the newcomer, hoping to tell if it is natural or unnatural, friend or foe. ""Anyone else hungry?"" he asks the group, eyeing the wolf's kill."
6,Dragodar,"The wolf's ears perk up at the sound of Bendron's halberd clicking on the stone ground, and it turns toward him as it's tail goes up in the air and sways from side to side. It takes two hesitant steps toward Bendron before pausing again to glance around the cave. It's tail continues to swing back and forth like an upside down pendulum."
7,RealZachKraus,"Chadwick steps up aggressively, ""I could eat."""
8,Graehamkracker,"""The wolf, or his rabbit?"""
9,Dragodar,"The wolf takes another hesitant step toward the fire and drops the rabbit on the ground. It looks up at Chadwick, then at Bendron, its tongue hanging slightly out of its mouth as it pants gently and wags its tail. It bends down and nudges the rabbit toward the group with its snout.The wolf takes a step back and then pushes its paws out in front of it and its rump in the air. It puts its snout between its forelegs and wags its tail slightly, then stands up and lets out a short bark."
